,Euphemisms,literal translation,euphemistic meanings,category,Rating,text,source,,always eup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Ṣe ẹ ranti orekelẹwa obinrin kan, Chidinma Pearl Ogbulu, to ha ẹbun kẹẹgi bẹntiroolu ni pati fawọn alejo ẹ l'Ekoo, lọjọsi?",alaroye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"Ohun ti alejo obinrin naa si n bọ wa se nilu Iwo ni lati di aya oriade ilu naa, tii se Oluwo tilu Iwo, Ọba Abdulrasheed Adewale Akanbi, Telu Kinni.",bbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,1,"BI NKAN OSU OBIRIN KOBA LO LASIKO...e je kia mu aso ti obirin naa fi se alejo yii, kia lo gbele lori ogan ikan kia wa fi aso yii si , ti awon ikan yii bati kole bo aso yi mole lojo yen naa ni nkan osun naa ma dawo duro. Ire oo.",https://www.facebook.com/1897271743837181/posts/bi-nkan-osu-obirin-koba-lo-lasikoe-jekia-mu-aso-ti-obirin-naafi-se-alejo-yii-kia/2054282591469428/,"If it's not about the month of women, it's time to go. Let's eat it and eat it Let's pick up her clothes Make this visitor, let's go and live on the wisdom of one. Put this shirt on , of them If this one can't cover the clothes that day it will be the same. The mushroom thing is too Stop it and stop it. Good luck to you.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"di ẹni ẹ̀gan awọn enia buburu. 9 Mo yadi, emi kò ya ẹnu mi; nitoripe iwọ li o ṣe e. 10 Mu ọwọ ìna rẹ kuro li ara mi: emi ṣegbe tan nipa ìja ọwọ rẹ. 11 Nigbati iwọ ba fi ibawi kilọ fun enia nitori ẹ̀ṣẹ, iwọ a ṣe ẹwà rẹ̀ a parun bi kòkoro aṣọ: nitõtọ asan li enia gbogbo. 12 Oluwa, gbọ́ adura mi, ki o si fi eti si ẹkún mi, ki o máṣe pa ẹnu rẹ mọ́ si omije mi: nitori alejo li emi lọdọ rẹ, ati atipo, bi gbogbo awọn baba mi ti ri. 13 Da mi si, ki emi li agbara, ki emi ki o to lọ kuro nihinyi, ati ki emi ki o to ṣe alaisi. ",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"mi run, nwọn lagbara: nigbana ni mo san ohun ti emi kò mu. 5 Ọlọrun, iwọ mọ̀ wère mi, ẹ̀ṣẹ mi kò si lumọ kuro loju rẹ. 6 Oluwa, Ọlọrun awọn ọmọ-ogun, máṣe jẹ ki oju ki o tì awọn ti o duro de ọ nitori mi: máṣe jẹ ki awọn ti nwá ọ ki o damu nitori mi, Ọlọrun Israeli. 7 Nitoripe nitori tirẹ li emi ṣe nrù ẹ̀gan; itiju ti bo mi loju. 8 Emi di àjeji si awọn arakunrin mi, ati alejo si awọn ọmọ iya mi. 9 Nitori ti itara ile rẹ ti jẹ mi tan; ati ẹ̀gan awọn ti o gàn ọ, ṣubu lù mi. 10 Nigbati mo sọkun, ti mo si nfi àwẹ jẹ ara mi ni ìya, eyi na si di ẹ̀gan mi. 11 Emi fi aṣọ ọ̀fọ sẹ aṣọ mi pẹlu: mo si di ẹni-owe fun wọn. 12 Awọn ti o joko li ẹnu-bode nsọ̀rọ si mi; emi si di orin awọn ọmuti. 13 Ṣugbọn bi o ṣe ti emi ni,",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,": idajọ rẹ̀ mbẹ ni gbogbo aiye. 8 O ti ranti majẹmu rẹ̀ lailai, ọ̀rọ ti o ti pa li aṣẹ fun ẹgbẹrun iran. 9 Majẹmu ti o ba Abrahamu dá, ati ibura rẹ̀ fun Isaaki; 10 O si gbé eyi na kalẹ li ofin fun Jakobu, ati fun Israeli ni majẹmu aiyeraiye. 11 Pe, iwọ li emi o fi ilẹ Kenaani fun, ipin ilẹ-ini nyin. 12 Nigbati o ṣe pe kiun ni nwọn wà ni iye; nitõtọ, diẹ kiun, nwọn si ṣe alejo ninu rẹ̀. 13 Nigbati nwọn nlọ lati orilẹ-ède de orilẹ-ède, lati ijọba kan de ọdọ awọn enia miran; 14 On kò jẹ ki ẹnikẹni ki o ṣe wọn ni iwọsi: Nitõtọ, o ba awọn ọba wi nitori wọn; 15 Pe, Ẹ máṣe fi ọwọ kan ẹni-ororo mi ki ẹ má si ṣe awọn woli mi ni ibi, 16 Pẹlupẹlu o pè ìyan wá si ilẹ na: o ṣẹ́ gbogbo ọpá onjẹ. 17 O rán ọkunrin kan lọ siwaju wọn; ani Josefu",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,". 7 Nigbati a o ṣe idajọ rẹ̀, ki a da a lẹbi: ki adura rẹ̀ ki o di ẹ̀ṣẹ; 8 Ki ọjọ rẹ̀ ki o kuru; ki ẹlomiran ki o rọpo iṣẹ rẹ̀. 9 Ki awọn ọmọ rẹ̀ ki o di alainibaba, ki aya rẹ̀ ki o di opó. 10 Jẹ ki awọn ọmọ rẹ̀ ki o di alarinkiri, ti nṣagbe: ki nwọn ki o ma tọrọ onjẹ jina si ibi ahoro wọn. 11 Jẹ ki alọnilọwọ-gbà ki o mu ohun gbogbo ti o ni; ki alejo ki o kó èrè iṣẹ́ rẹ̀ lọ. 12 Ki ẹnikẹni ki o má wà lati ṣãnu fun u: má si ṣe jẹ ki ẹnikẹni ki o si lati ṣe oju rere fun awọn ọmọ rẹ̀ alainibaba. 13 Ki a ke ati ọmọ-de-ọmọ rẹ̀ kuro, ati ni iran ti mbọ̀ ki orukọ wọn ki o parẹ. 14 Ki a ma ranti ẹ̀ṣẹ awọn baba rẹ̀ lọdọ Oluwa; má si jẹ ki a nù ẹ̀ṣẹ iya rẹ̀ nù. 15 Jẹ ki nwọn ki o wà niwaju Oluwa nigbagbogbo,",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0," 17 Fi ọ̀pọlọpọ ba iranṣẹ rẹ ṣe, ki emi ki o le wà lãye, ki emi ki o le ma pa ọ̀rọ rẹ mọ́. 18 Là mi li oju, ki emi ki o le ma wò ohun iyanu wọnni lati inu ofin rẹ. 19 Alejo li emi li aiye: máṣe pa àṣẹ rẹ mọ́ fun mi. 20 Aiya mi bù nitori ifojusọna si idajọ rẹ nigbagbogbo. 21 Iwọ ti ba awọn agberaga wi, ti a ti fi gégun, ti o ti ṣina kuro nipa aṣẹ rẹ. 22 Mu ẹ̀gan ati àbuku kuro lara mi; nitoriti emi ti pa ẹri rẹ mọ́. 23 Awọn ọmọ-alade joko pẹlu, nwọn nsọ̀rọ mi: ṣugbọn iranṣẹ rẹ nṣe àṣaro ninu ilana rẹ: 24 Ẹri rẹ pẹlu ni didùn-inu mi ati ìgbimọ mi. ",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"ìye, ipa-ọ̀na rẹ̀ a ma yi sihin yi sọhun, on kò si mọ̀. 7 Njẹ gbọ́ temi nisisiyi, ẹnyin ọmọ, ki ẹnyin ki o máṣe yà kuro li ọ̀rọ ẹnu mi. 8 Takete kuro lọdọ rẹ̀, má si ṣe sunmọ eti ilẹkun ile rẹ̀: 9 Ki iwọ ki o má ba fi ọlá rẹ fun ẹlomiran, ati ọdun rẹ fun ẹni-ìka; 10 Ki a má ba fi ọrọ̀ rẹ fun ajeji enia; ki ère-iṣẹ ọwọ rẹ ki o má ba wà ni ile alejo . 11 Iwọ a si ma kãnu ni ikẹhin rẹ̀, nigbati ẹran-ara ati ara rẹ ba parun. 12 Iwọ a si wipe, emi ha ti korira ẹkọ́ to, ti aiya mi si gàn ìbawi: 13 Ti emi kò gbà ohùn awọn olukọ́ mi gbọ́, tabi ki emi dẹti mi silẹ si awọn ti nkọ́ mi. 14 Emi fẹrẹ wà ninu ibi patapata larin awujọ, ati ni ijọ. 15 Mu omi lati inu kudu rẹ, ati omi ti nṣàn lati inu kanga rẹ. 16 Jẹ ki",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"titọ. 12 Eti igbọ́ ati oju irí, Oluwa li o ti dá awọn mejeji. 13 Máṣe fẹ orun sisùn, ki iwọ ki o má ba di talaka; ṣi oju rẹ, a o si fi onjẹ tẹ ọ lọrùn. 14 Kò ni lãri, kò ni lãri li oníbárà iwi; ṣugbọn nigbati o ba bọ si ọ̀na rẹ̀, nigbana ni iṣogo. 15 Wura wà ati iyùn ọ̀pọlọpọ: ṣugbọn ète ìmọ, èlo iyebiye ni. 16 Gba aṣọ rẹ̀, nitori ti o ṣe onigbọwọ fun alejo , si gba ohun ẹrí lọwọ rẹ̀ fun ajeji obinrin. 17 Onjẹ ẹ̀tan dùn mọ enia; ṣugbọn nikẹhin, ẹnu rẹ̀ li a o fi tarã kún. 18 Igbimọ li a fi ifi idi ete gbogbo kalẹ: ati pẹlu èro rere ni ki o ṣigun. 19 Ẹniti o ba nkiri bi olofofo a ma fi ọ̀ran ìkọkọ hàn: má si ṣe ba ẹniti nṣi ète rẹ̀ ṣire. 20 Ẹnikẹni ti o ba bú baba rẹ̀ tabi iya rẹ̀, fitila rẹ̀ li a o pa ninu òkunkun biribiri. 21 Ogún ti",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0," 1 MÁṢE leri ara rẹ niti ọjọ ọla, nitoriti iwọ kò mọ̀ ohun ti ọjọ kan yio hù jade. 2 Jẹ ki ẹlomiran ki o yìn ọ, ki o máṣe ẹnu ara rẹ; alejo , ki o má si ṣe ète ara rẹ. 3 Okuta wuwo, yanrin si wuwo, ṣugbọn ibinu aṣiwère, o wuwo jù mejeji lọ. 4 Ibinu ni ìka, irunu si ni kikún-omi; ṣugbọn tani yio duro niwaju owú. 5 Ibawi nigbangba, o san jù ifẹ ti o farasin lọ. 6 Otitọ li ọgbẹ ọrẹ́: ṣugbọn ifẹnukonu ọta li ẹ̀tan. 7 Ọkàn ti o yó fi ẹsẹ tẹ afara-oyin; ṣugbọn ọkàn ti ebi npa, ohun kikoro gbogbo li o dùn. 8 Bi ẹiyẹ",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,", máṣe kọ̀ silẹ, bẹ̃ni ki iwọ ki o máṣe lọ si ile arakunrin li ọjọ idãmu rẹ: nitoripe aladugbo ti o sunmọ ni, o san jù arakunrin ti o jina rere lọ. 11 Ọmọ mi, ki iwọ ki o gbọ́n, ki o si mu inu mi dùn; ki emi ki o le da ẹniti ngàn mi lohùn. 12 Amoye enia ri ibi tẹlẹ, o si pa ara rẹ̀ mọ́; ṣugbọn awọn òpe kọja a si jẹ wọn niya. 13 Gbà aṣọ rẹ̀ nitoriti o ṣe onigbọwọ alejo , si gbà ohun ẹri lọwọ rẹ̀ fun ajeji obinrin. 14 Ẹniti o ba ndide ni kutukutu ti o nfi ohùn rara kí ọrẹ́ rẹ̀, egún li a o kà a si fun u. 15 Ọṣọrọ-òjo li ọjọ òjo, ati onija obinrin, bakanna ni. 16 Ẹnikẹni ti o pa a mọ́, o pa ẹfũfu mọ́, ororo ọwọ-ọtún rẹ̀ yio si fihàn. 17 Irin a ma pọn irin: bẹ̃li ọkunrin ipọn oju ọrẹ́ rẹ̀. 18 Ẹnikẹni ti o tọju igi-ọpọtọ yio jẹ eso",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"ti yipada sẹhìn. 5 Ẽṣe ti a o fi lù nyin si i mọ? ẹnyin o ma ṣọ̀tẹ siwaju ati siwaju: gbogbo ori li o ṣaisàn, gbogbo ọkàn li o si dakú. 6 Lati atẹlẹ̀sẹ titi fi de ori kò si ilera ninu rẹ̀; bikòṣe ọgbẹ́, ipalara, ati õju ti nrà: nwọn kò iti pajumọ, bẹ̃ni a kò iti dì wọn, bẹ̃ni a kò si ti ifi ororo kùn wọn. 7 Ilẹ nyin di ahoro, a fi iná kun ilu nyin: ilẹ nyin, alejo jẹ ẹ run li oju nyin, o si di ahoro, bi eyiti awọn alejo wó palẹ. 8 Ọmọbinrin Sioni li a si fi silẹ bi agọ ninu ọgbà àjara, bi abule ninu ọgbà ẹ̀gúsí, bi ilu ti a dóti. 9 Bikòṣe bi Oluwa awọn ọmọ-ogun ti fi iyokù diẹ kiun silẹ fun wa, awa iba ti dabi Sodomu, awa iba si ti dabi Gomorra. 10 Gbọ́ ọ̀rọ Oluwa, ẹnyin olori Sodomu; fi eti si ofin Ọlọrun wa, ẹnyin enia Gomorra. 11 Oluwa ni, kini",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"? ẹnyin o ma ṣọ̀tẹ siwaju ati siwaju: gbogbo ori li o ṣaisàn, gbogbo ọkàn li o si dakú. 6 Lati atẹlẹ̀sẹ titi fi de ori kò si ilera ninu rẹ̀; bikòṣe ọgbẹ́, ipalara, ati õju ti nrà: nwọn kò iti pajumọ, bẹ̃ni a kò iti dì wọn, bẹ̃ni a kò si ti ifi ororo kùn wọn. 7 Ilẹ nyin di ahoro, a fi iná kun ilu nyin: ilẹ nyin, alejo jẹ ẹ run li oju nyin, o si di ahoro, bi eyiti awọn alejo wó palẹ. 8 Ọmọbinrin Sioni li a si fi silẹ bi agọ ninu ọgbà àjara, bi abule ninu ọgbà ẹ̀gúsí, bi ilu ti a dóti. 9 Bikòṣe bi Oluwa awọn ọmọ-ogun ti fi iyokù diẹ kiun silẹ fun wa, awa iba ti dabi Sodomu, awa iba si ti dabi Gomorra. 10 Gbọ́ ọ̀rọ Oluwa, ẹnyin olori Sodomu; fi eti si ofin Ọlọrun wa, ẹnyin enia Gomorra. 11 Oluwa ni, kini ọ̀pọlọpọ ẹbọ nyin jasi fun mi? emi kún fun ọrẹ sisun agbò, ati fun",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"apẹhinda, ti dá ara rẹ̀ li are ju Juda alarekereke lọ. 12 Lọ ki o si kede ọ̀rọ wọnyi ni iha ariwa, ki o si wipe, Yipada iwọ Israeli, apẹhinda, li Oluwa wi, emi kì yio jẹ ki oju mi ki o korò si ọ; nitori emi ni ãnu, li Oluwa wi, emi kì o si pa ibinu mi mọ titi lai. 13 Sa jẹwọ ẹ̀ṣẹ rẹ pe, iwọ ti ṣẹ̀ si Oluwa Ọlọrun rẹ, ati pe, o si tú ọ̀na rẹ ka fun awọn alejo labẹ igi tutu gbogbo, ṣugbọn ẹnyin kò gba ohùn mi gbọ́, li Oluwa wi. 14 Pada, ẹnyin apẹhinda ọmọ, li Oluwa wi, nitori emi gbe nyin ni iyawo; emi o si mu nyin, ọkan ninu ilu kan, ati meji ninu idile kan; emi o si mu nyin wá si Sioni. 15 Emi o si fun nyin li oluṣọ-agutan gẹgẹ bi ti inu mi, ti yio fi ìmọ ati oye bọ́ nyin. 16 Yio si ṣe nigbati ẹnyin ba pọ̀ si i, ti ẹ si",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"ọwọ́-ẹran rẹ, nwọn o jẹ àjara rẹ ati igi ọ̀pọtọ rẹ, nwọn o fi idà sọ ilu olodi rẹ ti iwọ gbẹkẹle di ahoro. 18 Ṣugbọn li ọjọ wọnnì, li Oluwa wi, emi kì yio ṣe iparun nyin patapata. 19 Yio si ṣe, nigbati ẹnyin o wipe: Ẽṣe ti Oluwa Ọlọrun wa fi ṣe gbogbo ohun wọnyi si wa? nigbana ni iwọ o da wọn lohùn: Gẹgẹ bi ẹnyin ti kọ̀ mi, ti ẹnyin si nsìn ọlọrun ajeji ni ilẹ nyin, bẹ̃ni ẹnyin o sin alejo ni ilẹ ti kì iṣe ti nyin. ",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"gbogbo ẹnyin ti Juda ti ẹ wọ̀ ẹnu ilẹkun wọnyi lati sin Oluwa. 3 Bayi li Oluwa awọn ọmọ-ogun, Ọlọrun Israeli wi, tun ọ̀na ati ìwa nyin ṣe, emi o si jẹ ki ẹnyin ma gbe ibi yi. 4 Ẹ máṣe gbẹkẹle ọ̀rọ eke, wipe: Tempili Oluwa, Tempili Oluwa, Tempili Oluwa ni eyi! 5 Nitori bi ẹnyin ba tun ọ̀na ati ìwa nyin ṣe nitõtọ; ti ẹnyin ba ṣe idajọ otitọ jalẹ, ẹnikini si ẹnikeji rẹ̀. 6 Ti ẹnyin kò ba si ṣẹ́ alejo ni iṣẹ́, alainibaba ati opó, ti ẹnyin kò si ta ẹ̀jẹ alaiṣẹ̀ silẹ ni ibi yi, ti ẹnyin kò si rìn tọ ọlọrun miran si ipalara nyin. 7 Nigbana ni emi o mu nyin gbe ibi yi, ni ilẹ ti emi fi fun awọn baba nyin lai ati lailai. 8 Sa wò o, ẹnyin gbẹkẹle ọ̀rọ eke, ti kò ni ère. 9 Kohaṣepe, ẹnyin njale, ẹ npania, ẹ nṣe panṣaga, ẹ nbura eke, ẹ nsun turari fun Baali, ẹ si nrin tọ ọlọrun miran ti",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"õtọ abo-àgbọnrin pẹlu ni papa bimọ, o fi i silẹ nitori ti kò si koriko. 6 Ati awọn kẹtẹkẹtẹ-igbẹ duro lori oke wọnni, nwọn fọn imu si ẹfũfu bi ikõko, oju wọn rẹ̀ nitoriti kò si koriko. 7 Oluwa, bi ẹ̀ṣẹ wa ti jẹri si wa to nì, ṣe atunṣe nitori orukọ rẹ: nitoriti ipẹhinda wa pọ̀; si ọ li awa ti ṣẹ̀. 8 Iwọ, ireti Israeli, olugbala rẹ̀ ni wakati ipọnju! ẽṣe ti iwọ o dabi alejo ni ilẹ, ati bi èro ti o pa agọ lati sùn? 9 Ẽṣe ti iwọ o dabi ẹniti o dãmu, bi ọkunrin akọni ti kò le ràn ni lọwọ? sibẹ iwọ, Oluwa, mbẹ li ãrin wa, a si npè orukọ rẹ mọ wa, má fi wa silẹ. 10 Bayi li Oluwa wi fun awọn enia yi, bayi ni nwọn ti fẹ lati rò kiri, nwọn kò dá ẹsẹ wọn duro; Oluwa kò si ni inu-didun ninu wọn: yio ranti aiṣedẽ",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0," 1 BAYI li Oluwa wi, Sọkalẹ lọ si ile ọba Juda, ki o si sọ ọ̀rọ yi nibẹ. 2 Si wipe, Gbọ́ ọ̀rọ Oluwa, ọba Juda, ti o joko ni itẹ Dafidi, iwọ, ati awọn iranṣẹ rẹ, ati awọn enia rẹ ti o wọle ẹnu-bode wọnyi. 3 Bayi li Oluwa wi; Mu idajọ ati ododo ṣẹ, ki o si gbà ẹniti a lọ lọwọ gbà kuro lọwọ aninilara, ki o máṣe fi agbara ati ìka lò alejo , alainibaba ati opó, bẹ̃ni ki o máṣe ta ẹ̀jẹ alaiṣẹ silẹ nihinyi. 4 Nitori bi ẹnyin ba ṣe nkan yi nitõtọ, nigbana ni awọn ọba yio wọle ẹnu-bode ilu yi, ti nwọn o joko lori itẹ Dafidi, ti yio gun kẹ̀kẹ ati ẹṣin, on, ati awọn iranṣẹ rẹ̀, ati enia rẹ̀. 5 Ṣugbọn bi ẹnyin kì yio ba gbọ́ ọ̀rọ wọnyi, Emi fi emitikarami bura, li Oluwa wi, pe, ile yi yio di ahoro. 6 Nitori bayi li Oluwa wi fun",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,"ọmọ: Ẽṣe ti emi fi ri gbogbo awọn ọkunrin pẹlu ọwọ wọn li ẹgbẹ wọn, bi obinrin ti nrọbi, ti a si sọ gbogbo oju di jijoro? 7 Oṣe! nitori ọjọ na tobi, tobẹ̃ ti kò si ọkan bi iru rẹ̀: o jẹ àkoko wahala fun Jakobu; sibẹ a o gbà a kuro ninu rẹ̀. 8 Yio si ṣe li ọjọ na, li Oluwa awọn ọmọ-ogun wi, ti emi o si ṣẹ àjaga kuro li ọrùn rẹ, emi o si ja ìde rẹ, awọn alejo kì yio si mu ọ sìn wọn mọ: 9 Ṣugbọn nwọn o ma sin Oluwa Ọlọrun wọn, ati Dafidi ọba wọn, ẹniti emi o gbe kalẹ fun wọn. 10 Njẹ nisisiyi, má bẹ̀ru, iwọ Jakobu, ọmọ-ọdọ mi, li Oluwa wi; ki o má si fòya, iwọ Israeli: nitorina sa wò o, emi o gbà ọ lati okere wá, ati iru-ọmọ rẹ lati igbekun wọn; Jakobu yio si pada, yio si wà ni isimi, yio si gbe jẹ, ẹnikan kì",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0," 1 RANTI, Oluwa, ohun ti o de sori wa; rò ki o si wò ẹ̀gan wa! 2 A fi ogún wa le awọn alejo lọwọ, ile wa fun awọn ajeji. 3 Awa jẹ alaini obi, baba kò si, awọn iyá wa dabi opó. 4 Awa ti fi owo mu omi wa; a nta igi wa fun wa. 5 Awọn ti nlepa wa sunmọ ọrùn wa: ãrẹ̀ mu wa, awa kò si ni isimi. 6 Awa ti fi ọwọ wa fun awọn ara Egipti, ati fun ara Assiria, lati fi onjẹ tẹ́ wa lọrùn. 7 Awọn baba wa ti ṣẹ̀, nwọn kò si sí; awa si nrù aiṣedede wọn",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Àlejò,guest,menstruation,bodily function,0,", wura wọn li a o si mu kuro; fadaka wọn ati wura wọn kì yio si le gbà wọn là li ọjọ ibinu Oluwa: nwọn kì yio tẹ́ ọkàn wọn lọrùn, bẹ̃ni nwọn kì yio kún inu wọn; nitori on ni idùgbolu aiṣedede wọn. 20 Bi o ṣe ti ẹwà ohun ọṣọ́ rẹ̀ ni, o gbe e ka ibi ọlanla: ṣugbọn nwọn yá ere irira wọn ati ohun ikorira wọn ninu rẹ̀: nitorina li emi ṣe mu u jina si wọn. 21 Emi o si fi i si ọwọ́ awọn alejo fun ijẹ, ati fun enia buburu aiye fun ikogun: nwọn o si bà a jẹ. 22 Oju mi pẹlu li emi o yipada kuro lọdọ wọn, nwọn o si ba ibi ikọkọ mi jẹ; nitori awọn ọlọṣà yio wọ inu rẹ̀, nwọn o si bà a jẹ. 23 Rọ ẹ̀wọn kan; nitori ilẹ na kún fun ẹ̀ṣẹ ẹjẹ, ilu-nla na si kún fun iwa ipa. 24 Nitorina li emi o mu awọn keferi ti o burujulọ, nwọn o si jogun ile wọn: emi o si mu",http://gospelgo.com/f/yoruba_bible.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
