,Palabra clave,Texto editado,Es Eufemistico,Categoria,Fuente,Fuente de Origen (Bibliografia),Pais,Observations
10,Apropiación indebida,La reunión celebrada en Brasil ha sido un paso más para regular la “apropiación indebida” de los recursos biológicos,1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"Oshima, Tana: «¿De quién es la naturaleza?». elmundo.es. Natura. Madrid: 2006-04-08",España,
11,Apropiación indebida,Advierte que la falta de liquidación de los gastos en forma oportuna puede provocar “apropiación indebida” de fondos y afecta el saldo de la caja fiscal al 31 de diciembre del año pasado.,1,Politica-Justicia,REA (Corpes Siglo XXI),La hora. Guatemala de la Asunción: 2002-06-10,Guatemala,
12,Limpieza Etnica,"Lo ha visto en Bosnia, donde la “limpieza étnica” dejó un rastro de cadáveres que avergonzó a occidente. Y pudo verlo antes en Ruanda, donde una tribu enloquecida trató de exterminar a machetazos a los integrantes de otra etnia a los que poco antes consideraba compatriotas. Y ese mismo hedor agobiante lo sacudió, ya con menos sorpresa, en cierto remoto paraje de Haití, donde una dictadura salvaje apenas se tomó el trabajo de cubrir el rastro de sus crímenes.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Hidalgo, David: «José Pablo Baraybar, un peruano que desentierra la verdad de los más crueles genocidios del mundo». La República.pe. Revista Domingo. Lima: 2001-01-21",Peru,
13,Limpieza Etnica,"El secretario general de la ONU tiene previsto reunirse hoy con el presidente sudanés, Omar Hasan al-Bachir, antes de partir rumbo a la región occidental de Darfur, donde desde hace más de un año se perpetra una escondida “limpieza étnica”.",1,Politica-Justicia,REA (Corpes Siglo XXI),Sudán bajo presión por matanza étnica. Piden frenar violencia contra población civil». La Nación. San José: 2004-07-01,Costa Rica,
14,Tengo la regla,"¡¿Me lo vas a decir, sí o no?! -exclamó ella levantando bruscamente el tono de voz-. Perdona, es que “tengo la regla” y estoy algo irritable.",1,Novela,REA (Corpes Siglo XXI),"Aibar, Óscar: Los comedores de tiza. Madrid: Caballo de Troya, 2004",España,
15,Tengo la regla,"Es que “tengo la regla” —mentí de nuevo, encogiéndome de hombros—. Un grifo de regla. Suelto tanta sangre que dejaría un camino tan largo como el de las baldosas camarillas en El mago de Oz.",1,Novela,REA (Corpes Siglo XXI),"Mírez, Alex: Perfectos mentirosos. Mentiras y secretos. Barcelona: Montena, 2020",España,
16,Tengo la regla,"Newey explicó que se aplica una regla muy particular para saber si sus ideas pueden funcionar. “Tengo la regla” de las 24 horas: ¿todavía parece una buena idea después de 24 horas? Al final, desarrollas una sensibilidad especial para ese procedimiento. El cerebro es una cosa increíble: puede estar haciendo algo completamente diferente, como tomar una taza de té, y de repente descubres si tu idea es buena o mala, detalló.",0,Estilo de vida,REA (Corpes Siglo XXI),"Newey: «Recibo ofertas, pero soy leal a Red Bull». ABC. Madrid: 2014-01-28",España,
17,Pasar a mejor vida,"Luego de 20 años, las famosas ""cookies"" podrían “pasar a mejor vida”, de acuerdo con la intención de gigantes de internet como Google, Apple y Microsoft, que presionados por defensores de la privacidad, buscan alternativas al clásico método para conocer los hábitos de navegación de los usuarios de internet.",1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),Gigantes de internet buscan alternativas a las 'cookies'». El Universal. Cartagena: 2013-11-13,Colombia,
18,Pasar a mejor vida,"Habitualmente silencioso, lo único que lo sacaba de su mutismo casi total era hablar acerca de cada vaca individual y de su doloroso padecimiento. Para eso su memoria era más que fotográfica. Recordaba las miles de vacas a las que había ayudado a “pasar a mejor vida”. A todas les había puesto nombre y apellido. En su mente guardaba un álbum de fotos de todas. Un archivo completo y detallado de cada una, de sus peculiaridades físicas y de su conducta en los últimos minutos de su vida. Podía hablar por horas, por días, acerca de la ejecución.",1,Relato,REA (Corpes Siglo XXI),"Juárez, Eduardo: «El señor de las vacas». Mariposas del vértigo. Guatemala: Letra Negra, 2005",Guatemala,
19,Pasar a mejor vida,"Eran ocho guardaespaldas chinos igualmente trajeados, más media docena de cargadores, los tres curitas y el piloto de la avioneta. De los ocho guardaespaldas, pronto sólo hubo cinco en pie. Pero la cuarta víctima no aceptó “pasar a mejor vida” sin forcejear y su resistencia alertó al resto de los chinos. La balacera empezó por todos lados. Eustacio y yo nos cubrimos detrás del muelle, mientras esperábamos la llegada de refuerzos. Éstos se hicieron cargo de la situación en diez minutos, pero los curitas y Ho Fong lograron huir en la avioneta. Y lo peor, las tres embarcaciones alcanzaron a escapar con rumbo al sur.",1,Relato,REA (Corpes Siglo XXI),"Trujillo Muñoz, Gabriel: «Escombros. Sombras chinas». Trebejos. Mexicali: Instituto de Cultura de Baja California, 2001",Mexico,
20,Pasar a mejor vida,"Cuando Gregory Orlov dejó de ser útil a sus propósitos Catalina rápidamente lo reemplazó por otro y así sucesivamente, gratificando significativamente a todos y cada uno de sus amantes. Tía Iscaria ya no quiso entrar en mas detalles de los nombres y señas de sus antiguos amantes, sólo me dijo que, durante una noche de tormenta, el cofre y sus hechizos desaparecieron, dejando a una envejecida y atormentada Catalina, totalmente sola, sin amantes, vulnerable, desarmada y atormentada por sus remordimientos. Para liberarla en una parte de sus malas acciones, Algún hechicero le sugirió deshacer su pacto con el diablo canjeándole su vida para liberar su alma, Catalina puso en práctica el último de sus desaparecidos hechizos, con la esperanza de “pasar a mejor vida” puesto que la que llevaba dejaba mucho que desear y ya era más que suficiente.",0,Novela,REA (Corpes Siglo XXI),"Pedraza Pérez del Castillo, Pilar: Mujer escorpión. Novela inédita. La Paz: s. n., 2001",Bolivia,
21,Sustancia prohibida,"El científico francés Bruno Le Bizec, de la Escuela Nacional de Veterinaria de Nantes, francés desarrolló una nueva prueba para detectar si los deportistas usan la “sustancia prohibida” nandrolona, informó la revista inglesa New Scientist. El ensayo puede distinguir entra la nandrolona producida por el cuerpo humano y la artificial tomada para aumentar la masa muscular. Ejemplo de este caso es el atleta británico Linford Christie, campeón olímpico de velocidad, quien dio positivo con nandrolona, pero dijo que nunca había tomado esa sustancia.",1,Noticias,REA (Corpes Siglo XXI),"«AGENDA». La Jornada. México, D. F.: 2002-04-25",Mexico,
22,Sustancia prohibida,"El jugador de Independiente Santa Fe Juan Carlos Toja, dio positivo en el control antidopaje que realizó la Dimayor, tras el clásico capitalino del pasado 20 de julio. Según se conoció, la “sustancia prohibida” fue marihuana. Dicha droga no incrementa el rendimiento deportivo y es de uso social. El jugador ya fue notificado de la decisión y asumirá la sanción que le imponga la Dimayor. ""Sé que cometí una falta y asumo la culpa y la responsabilidad. Soy un profesional y voy a demostrar que puedo salir adelante"", declaró Toja tras el entrenamiento del elenco cardenal. Por su parte, el médico cardenal Javier Fernández, manifestó que el club capitalino respalda y apoya al jugador. ""En el club no le vamos a dar mayor trascendencia a este hecho. Vamos a apoyar al jugador y a colaborarle para que supere esta crisis"".",1,Noticias,REA (Corpes Siglo XXI),«Fútbol del fin de semana». Diario del Huila. Neiva: 2003-08-14,Colombia,
23,Actualización de precios,"El congresista Johnny Peralta Cruz, secretario de la Comisión de Defensa del Consumidor del Congreso, autor de uno de los recursos de reconsideración, dijo que a todas luces es claro que las tarifas de electricidad subieron 8% para el sector doméstico y 22% para el industrial, más de lo que dijo Osinerg. Agregó que los funcionarios de Osinerg sabían que con el incremento del precio del petróleo (mayor al 5%) se iba a realizar una “actualización de precios”, causa del mayor alza.",1,Politica-Economia,REA (Corpes Siglo XXI),"«Usuarios piden nulidad del alza de las tarifas eléctricas». La República. Lima: Grupo La República, 2004-11-25",Peru,
24,Actualización de precios,"Asimismo, el artículo 8 determina que está prohibido utilizar ""algún mecanismo de “actualización de precios” distinto a los fijados en el contrato de venta programada de bienes muebles, según el plan de conformidad con las regulaciones y listados de precios fijados por el órgano regulador o contralor competente para tal fin"".",0,Politica-Economia,REA (Corpes Siglo XXI),"Deniz, Roberto: «En ventas programadas no se podrán ""actualizar"" precios». El Universal. Caracas: 2011-12-02",Venezuela,
25,Disminuido,"Quien por razones de guarda legal tenga a su cuidado directo algún menor de 6 años, anciano que requiera especial dedicación, o a un “disminuido” físico, psíquico o sensorial que no desempeñe actividades retribuidas, tendrá derecho a una disminución de la jornada de trabajo de hasta un medio, con la reducción proporcional de sus retribuciones. Según el Real Decreto 2670/1998, de 11 de diciembre, cuando lo permita la organización del trabajo de la unidad, se concederá al funcionario la parte de la jornada que convenga a sus intereses personales.",1,Politica-Economia,REA (Corpes Siglo XXI),"Martos Navarro, Fernando... [et al.]: Grupo administrativo de instituciones sanitarias del Insalud. Temario. Sevilla: MAD, 2001",España,
26,Disminuido,"Otro hombre que aparece es el Jote, marido de la señora Inés. Éste suele emborracharse y en una de sus borracheras rompió el vestido de Marisela, causando así, otro conflicto más. Si bien es padre, no hay alusiones a este rol. Él, sin embargo, sufre por su condición, no ha tenido buenas experiencias en sus trabajos y se siente “disminuido” como individuo -sin relacionar esto con su deber en la familia-, él se vino del campo a la capital y se lamenta de haber tomado esa decisión:",1,Arte y Cultura,REA (Corpes Siglo XXI),"Darrigrandi Navarro, Claudia: Dramaturgia y género en el Chile de los sesenta. Santiago de Chile: LOM Ediciones, 2001",Chile,
27,Disminuido,"Aunque en los últimos 50 años las enfermedades transmisibles, junto con las de la nutrición y de la reproducción, han “disminuido” del 49.8% en 1950 al 14.0% en 2000, no tienen un significado epidemiológico similar. En el caso de las ETV presentan desde simples incrementos de incidencia, hasta enfermedades nuevas, considerándose que tienden a incrementar su trascendencia por su mortalidad (dengue hemorrágico y encefalitis) y por sus secuelas (Chagas o los tifos).",0,Salud,REA (Corpes Siglo XXI),"Secretaría de prevención y protección de la salud: Programa de Acción: Enfermedades transmitidas por Vector. México D. F.: Secretaría de Salud, 2001",Mexico,
28,Disminuido,"Solo Alemania y Gran Bretaña han “disminuido” sus emisiones, el primero en 15 % y el segundo en 12 % en relación con 1990. Algunos países esperan cumplir sus compromisos agroforestales y la protección de bosques amenazados, pero la realidad es que de continuar las emisiones al ritmo que llevan en la actualidad, no se cumplirá el compromiso de reducción, sino que se incrementara entre 18 y 20 %, con respecto al 1990.",0,Ciencia y Tecnologia,REA (Corpes Siglo XXI),«Protocolo de Kyoto. Antecedentes y actualidad». Energía y tú. La Habana: 2001-04-01,Cuba,
29,Persona disminuida,"Para que esta ayuda sea eficaz, la “persona disminuida” debe colocarse delante de la persona encargada de su higiene y dando la espalda a ésta, sentado en una silla y con la cabeza hacia atrás.",1,Salud,REA (Corpes Siglo XXI),«Higiene dental en minusválidos». Hoy digital. Santo Domingo: 2005-01-20,Republica Dominicana,
30,Persona de la tercera edad,"Me comuniqué con la lectora Candela Pacheco, quien a través de Clarín, en esta misma página dominical, pidió una guitarra para Osvaldo Centenaro, una “persona de la tercera edad” que vivía en un hogar de ancianos. Yo hice mi ofrecimiento y ella me dijo que había seleccionado mi e-mail, porque yo ya tenía una guitarra. Con mucha alegría preparé la guitarra que había utilizado en mis tiempos que estudiaba el instrumento. Le arreglé la funda, que no estaba demasiado linda, le puse un moño y hasta le escribí unas palabras para don Osvaldo.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Guarino, María Inés: «Opinión. Las guitarras de don Osvaldo» Buenos Aires:  2011-08-14",Argentina,
31,Persona de la tercera edad,"Los rescatistas del Cuerpo de Bomberos de San Miguel de la provincia de Bolívar y de la Policía Nacional lograron rescatar a una “persona de la tercera edad” hoy, lunes 11 de enero del 2016.",1,Noticias,REA (Corpes Siglo XXI),"Maisanche, Fabián: «Difícil rescate de una anciana que quedó atrapada entre las llamas de su vivienda». El Comercio. Quito: 2016-01-11",Ecuador,
32,Poner a dormir,"Odiaba con furor a los negros. Cuando creció, ladraba tanto que le cortaron las cuerdas vocales. Después de eso le destrozó la mano a un jardinero -recuerdo su overol azul cobalto bañado en sangre, la mano despedazada que sostenía con la otra mientras se la lavábamos con el chorro de la manguera. Hubo que “poner a dormir” a Clara. Mi padre me dijo que lo viera como nuestra contribución personal a la Sudáfrica del postapartheid.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Luiselli, Valeria: «Pretoria». Letras Libres. México D. F.: 2010-06",Mexico,
33,Poner a dormir,"Lo cierto es que, como te digo, estuvo muy nerviosa durante varios días, hasta la tarde en que se perdió de la cabeza. De un día para el otro se olvidó de todo lo hecho y hablado y ya no supo más quién era ella, ni tampoco quién era yo, y empezó a preguntar dónde íbamos a “poner a dormir” a toda esa gente y qué hacían en la casa todas esas personas sin cabeza. Así decía, ¿podés creer?, parece que veía a los pensionistas sin cabeza y sin nada, porque a los que veía cuando decía estas cosas era a la gente de esta casa, gente que hace años de años que vive con nosotros.",1,Novela,REA (Corpes Siglo XXI),"Andruetto, María Teresa: Los manchados. Buenos Aires: Random House, 2015",Argentina,
34,Poner a dormir,"""No he hecho nada de lo que esta persona alega... Yo tenía un andamiaje para “poner a dormir” el perro... Que tiramos perros vivos, eso es totalmente falso"", respondió Díaz finalmente, luego de que AP intentara contactarlo varias veces durante el curso de la investigación.",1,Politica-Justicia,REA (Corpes Siglo XXI),"Vargas, Yaisha: «Empresario niega patrón de matanza de animales» San Juan: 2007-11-17",Puerto Rico,
35,Poner a dormir,"Cuando lo abracé no pudo más y se echó a llorar como un carajito. Nos rogó que lo perdonáramos, que todo había sido culpa suya, que había escrito una carta quejándose de que lo querían “poner a dormir” en una cama de piedra y obligarlo a comer carne de burro, pero que nos juraba que él no sabía que iban a meter presa a la madre por eso y a cerrar el asilo.",0,Novela,REA (Corpes Siglo XXI),"Dou, Benigno: Luna rota. Barcelona: Planeta, 2002",Venezuela,
36,Poner a dormir,"“Poner a dormir” a un bebé mayor de un año no es tarea fácil, ya que suele oponer una gran resistencia: algunos se paran en la cuna sacudiendo los barrotes, otros vomitan y otros gritan de una manera que puede provocar las quejas de los vecinos. ¡Estarás en medio de una batalla!",0,Ciencias Sociales,REA (Corpes Siglo XXI),"Gruenberg, Martín: ¡Vamos a dormir! Cómo prevenir y solucionar los problemas de sueño de tu hijo sin culpa y según su edad. Manual para padres. Buenos Aires: Grijalbo, 2012",Argentina,
37,Poner a dormir,"A juzgar por su dolor de la cabeza y la sequedad de su boca cuando se despierta en el refugio de montaña, el sedante que le dieron a Barbosa en el coche lo ha debido de “poner a dormir” durante un día entero. Barbosa se frota los ojos y se incorpora hasta sentarse en el colchón. El fuego del refugio está encendido. Barbosa examina el interior de la cabaña y por fin se encuentra con los ojos del tipo bajito y gordo que está en el otro colchón, acostado de lado y mirándolo a él. Vestido con varios jerseys de lana y coronado con un inverosímil afro de aspecto pùbico.",0,Novela,REA (Corpes Siglo XXI),"Calvo, Javier: El jardín colgante. Barcelona: Seix Barral, 2012",España,
38,Desocupado,"-¿Mis celos? -sonrió, amenazador-. Veamos qué te dicen estos datos -y sacó un papel-: Lucas Modím de Bastos. 35 años. Soltero. Domiciliado en Cardenal Fatigatti 89, 2º piso, apartamento heredado de un tío. Hasta el año pasado vivía en un pueblo del interior del país. Trabajó como electricista, taxista y ayudante de cocina. Actualmente “desocupado”.",1,Novela,REA (Corpes Siglo XXI),"Maronna, Jorge; Pescetti, Luis María: Copyright: plagios literarios y poder político al desnudo. Barcelona: Plaza & Janés, 2001",Argentina,
39,Desocupado,"¿Será finalmente la rubia chilena la que consiga llevar al registro civil al “desocupado” más rico de la Argentina? ¿Se trata de un show para lograr protagonismo? ¿Es un circo armado para dar la pelea en las elecciones del 2003? ¿Hay verdadero amor entre ellos? ¿O sólo es una simple y explosiva combinación de poder, fama, exhibicionismo y dinero lo que los mantiene juntos y acaramelados, sobredimensionando gestos y sentimientos? En todo caso, el negocio es redituable para ambos, a corto y a largo plazo.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"Wornat, Olga: Menem-Bolocco, S.A.. Buenos Aires: Ediciones B Argentina, 2001",Argentina,Debatible
40,Desocupado,"Dice mi mujer que vivo en el pasado, que me alimento de sueños, como esos viejos desocupados que van a jugar al dominó en nuestra sede social y asisten a las conferencias o a los recitales poéticos que organiza Godino. Le contesto que más o menos eso mismo soy yo, casi un “desocupado”, un parado de larga duración, como dicen ahora, por mucho que me empeñe en emprender negocios que no llegan a nada, en aceptar trabajos casi siempre fugaces, y muchas veces ilusorios y hasta fraudulentos.",1,Novela,REA (Corpes Siglo XXI),"Muñoz Molina, Antonio: Sefarad. Una novela de novelas. Madrid: Alfaguara, 2001",España,
41,Desocupado,"Igualmente le solicitaba que se pusiera en contacto con el administrador de la finca para que remitiese la documentación y los pagos sufragando los gastos de la propiedad al despacho del abogado Requejo, a cuyo nombre abrí un apartado de correos y asigné una dirección ficticia, un viejo garaje “desocupado” a dos calles del caserón en ruinas de los Aldaya. Mi esperanza era que, cegada por la posibilidad de ayudar a Julián y de volver a establecer el contacto con él, Sophie no se detendría a cuestionar todo aquel galimatías legal y consentiría en ayudarnos dada su próspera situación en la lejana Venezuela.",0,Novela,REA (Corpes Siglo XXI),"Ruiz Zafón, Carlos: La sombra del viento. Barcelona: Planeta, 2003",España,
42,Desocupado,"Esa misma noche, venciendo el cansancio del viaje, me dejé llevar por Maryse al teatro, que no era gran cosa y estaba poco iluminado. En todo caso, a las seis y media, hora en que comenzaba el espectáculo, no había un asiento “desocupado” a pesar de ser aquélla su tercera función. La salida de Maryse al escenario fue saludada con un largo aplauso. Ajustada a su cabeza llevaba una máscara veneciana que semejaba la cara de un gato, su cuerpo envuelto en un provocativo manto de seda blanca que acentuaba las sinuosidades de sus movimientos. ",0,Novela,REA (Corpes Siglo XXI),"Benítez Rojo, Antonio: Mujer en traje de batalla. Madrid: Alfaguara, 2001",Cuba,
43,Desocupado,"Implantado en un sector de alta conflictividad urbana, sobre un antiguo solar “desocupado”, con un entorno edificado heterogéneo, la nueva construcción logra conjugar volumétricamente la disgregación urbana del sector y conciliar el arrastre de la calle Caldas con la liberalidad de las edificaciones de la calle Guayaquil y los inmuebles representativos de principios de siglo.",0,Arte and Cultura,REA (Corpes Siglo XXI),«Estacionamiento Plaza Bolívar». Trama. Quito: 2001-02-03,Ecuador,
44,Pronunciamiento militar,"Un mes después del artículo se producía el “pronunciamiento militar” de Galán y García Hernández en Jaca. Su fracaso y la ejecución de sus líderes otorgaría a la República sus protomártires y acomplejaría más aún a los monárquicos. Unos, indecisos como Alba o Cambó -éste además gravemente enfermo de cáncer-; otros, despechados como Sánchez-Guerra, otros protagonizando defecciones flagrantes como Alcalá Zamora o Miguel Maura. Don Juan Bautista Aznar, un almirante, político de bajo perfil (Maura dijo de él que procedía geográficamente de Cartagena y políticamente de la luna), sería la única opción como presidente encontrada por el Rey tras la dimisión de Berenguer en febrero de 1931, tras una ansiosa exploración entre sus presuntos leales con varias negativas sangrantes. Se establecía por primera vez la distinción entre monarquismo y alfonsismo.",1,Ciencias Sociales,REA (Corpes Siglo XXI),"García Cárcel, Ricardo: «Aquel 14 de Abril». Madrid: 2006-04-14",España,
45,Pronunciamiento militar,"La experiencia de haber sido derrocado y detenido influyó en el tono de su discurso de reaparición. 'Llamo a todos a la unidad nacional', aseguró y, a manera de prueba concreta de disposición al entendimiento, anunció que había aceptado la renuncia de la junta directiva de Petróleos de Venezuela, en lo que podría significar la solución al conflicto que incendió la pradera y desencadenó el “pronunciamiento militar” que desplazó a Chávez de la Presidencia, el pasado jueves.",1,Politica,REA (Corpes Siglo XXI),"Hernandez, Clodovaldo: «Chávez formula llamado a unidad». El Universal. Caracas: 2002",Venezuela,
46,Pronunciamiento militar,"Hasta aquí un lector por demás ingenuo se preguntará si está frente a una obra religiosa; uno más advertido, percatándose del año, sospechará que puede tratarse de la guerra civil española ya que ésta cronológicamente se inicia el 18 de julio de 1936, con la extensión a la península del “pronunciamiento militar” del día anterior en Melilla.",1,Ciencia y Tecnologia,REA (Corpes Siglo XXI),"«Angélica Corvetto-Fernández Universidad de Lund». Espéculo. Madrid: Facultad de Ciencias de la Información. Universidad Complutense de Madrid, 2002-06-03",España,
47,Pronunciamiento militar,"Urrutia indicó que ""no queremos que se resalte el gobierno de Allende, en el gobierno de Allende también se violaron los derechos humanos (...) Hubo varias personas que fallecieron durante ese gobierno por distintas razones, la división política que se produjo provocó el “pronunciamiento militar”, fue el peor gobierno de la historia de Chile"".",1,Politica,REA (Corpes Siglo XXI),"Núñez, María Paz: «Diputado UDI explica por qué presentó proyecto que sanciona ""enaltecer"" gobierno de Allende». La Tercera. Santiago de Chile: 2016-01-05.",Chile,
48,Pronunciamiento militar,"Poco después el general Arsenio Martínez Campos se alzó en Sagunto contra la República y proclamó rey de España a Alfonso XII (décimo procedimiento que incluyo en mi lista, el “pronunciamiento militar”, de derribar el régimen constitucional establecido). El general Serrano dejó el poder poniendo punto final a la Primera República española. Sagasta no se oponía a la entronización de Alfonso XII siempre que se respetase la legislación revolucionaria. El 31 de diciembre se constituyó un nuevo gobierno presidido por Cánovas, que mantendría un verdadero estado de excepción que prolongaría la suspensión de garantías decretada por Serrano hasta el 19 de enero de 1877, con lo cual se aplazó la eficacia plena de las libertades hasta meses después de entrar en vigor la Constitución de 1876.",1,Politica-Economia,REA (Corpes Siglo XXI),"Muñoz Machado, Santiago: Vieja y nueva Constitución. Barcelona: Editorial Planeta, 2016",España,
49,Pronunciamiento militar,"—Puede usted recurrir en París al conde de Orsi —dijo—. Acaba de cumplir su condena por el “pronunciamiento militar” de Boulogne, en el que me acompañó; se encuentra en quiebra, pero conserva excelentes relaciones con la banca inglesa.",1,Novela,REA (Corpes Siglo XXI),"Ramírez, Sergio: Mil y una muertes. México, D.F.: Penguin Random House Grupo Editorial, 2004",Nicaragua,
